xp,yp,gpz,vor,up,vp,sp,active,chi
6.44,-1.04,0,0,0.975343,0.0100113,0.16,0,0
6.6,-1.04,0,0,0.976577,0.00919434,0.16,0,0
6.76,-1.04,0,0,0.977731,0.00846396,0.16,0,0
6.92,-1.04,0,0,0.978807,0.00780841,0.16,0,0
6.44,-0.88,1.13665e-06,4.44004e-05,0.974522,0.00868411,0.16,1,0
6.6,-0.88,0,0,0.975848,0.00795888,0.16,0,0
6.76,-0.88,0,0,0.97708,0.00731202,0.16,0,0
6.92,-0.88,0,0,0.978222,0.00673482,0.16,0,0
6.44,-0.72,2.34117e-06,9.1452e-05,0.973799,0.00726073,0.16,1,0
6.6,-0.72,0,0,0.975211,0.00664198,0.16,0,0
6.76,-0.72,0,0,0.976514,0.00609045,0.16,0,0
6.92,-0.72,0,0,0.977717,0.00560068,0.16,0,0
6.44,2,0,0,0.981658,-0.0158503,0.16,0,0
6.6,2,0,0,0.982298,-0.0147178,0.16,0,0
6.76,2,0,0,0.982919,-0.013687,0.16,0,0
6.92,2,0,0,0.983517,-0.0127452,0.16,0,0
6.44,2.16,0,0,0.982853,-0.0164444,0.16,0,0
6.6,2.16,0,0,0.983387,-0.0152978,0.16,0,0
6.76,2.16,0,0,0.983911,-0.0142513,0.16,0,0
6.92,2.16,0,0,0.984426,-0.0132942,0.16,0,0
6.44,2.32,0,0,0.984054,-0.0169271,0.16,0,0
6.6,2.32,0,0,0.984484,-0.015778,0.16,0,0
6.76,2.32,0,0,0.984915,-0.0147251,0.16,0,0
6.92,2.32,0,0,0.985347,-0.0137633,0.16,0,0
6.44,2.48,0,0,0.98525,-0.0173038,0.16,0,0
6.6,2.48,0,0,0.985582,-0.0161623,0.16,0,0
6.76,2.48,0,0,0.985924,-0.015111,0.16,0,0
6.92,2.48,0,0,0.986273,-0.014154,0.16,0,0
6.44,1.36,2.43897e-06,9.52724e-05,0.977217,-0.0123694,0.16,1,0
6.6,1.36,0,0,0.978265,-0.0114053,0.16,0,0
6.76,1.36,0,0,0.979252,-0.0105387,0.16,0,0
6.92,1.36,0,0,0.980181,-0.00975361,0.16,0,0
6.44,1.52,2.31239e-06,9.03278e-05,0.978253,-0.0133986,0.16,1,0
6.6,1.52,0,0,0.979204,-0.0123767,0.16,0,0
6.76,1.52,0,0,0.980104,-0.0114551,0.16,0,0
6.92,1.52,0,0,0.980954,-0.0106178,0.16,0,0
6.44,1.68,1.47311e-06,5.75434e-05,0.979344,-0.0143247,0.16,1,0
6.6,1.68,0,0,0.980196,-0.0132551,0.16,0,0
6.76,1.68,0,0,0.981005,-0.012287,0.16,0,0
6.92,1.68,0,0,0.981773,-0.0114059,0.16,0,0
6.44,1.84,4.26087e-07,1.6644e-05,0.980483,-0.0151432,0.16,1,0
6.6,1.84,0,0,0.981231,-0.0140365,0.16,0,0
6.76,1.84,0,0,0.981947,-0.0130318,0.16,0,0
6.92,1.84,0,0,0.98263,-0.0121155,0.16,0,0
5.16,-3.12,0,0,0.992233,0.0288186,0.16,0,0
5.32,-3.12,0,0,0.991562,0.0271684,0.16,0,0
5.48,-3.12,0,0,0.991027,0.0255979,0.16,0,0
5.64,-3.12,0,0,0.99061,0.0241096,0.16,0,0
5.16,-2.96,0,0,0.990466,0.029522,0.16,0,0
5.32,-2.96,0,0,0.989883,0.0277248,0.16,0,0
5.48,-2.96,0,0,0.989439,0.0260273,0.16,0,0
5.64,-2.96,0,0,0.989113,0.0244299,0.16,0,0
5.16,-2.8,0,0,0.988539,0.030128,0.16,0,0
5.32,-2.8,0,0,0.988067,0.0281812,0.16,0,0
5.48,-2.8,0,0,0.987733,0.0263562,0.16,0,0
5.64,-2.8,0,0,0.987515,0.0246511,0.16,0,0
5.16,-2.64,0,0,0.98645,0.0306122,0.16,0,0
5.32,-2.64,0,0,0.986112,0.0285155,0.16,0,0
5.48,-2.64,0,0,0.985911,0.0265649,0.16,0,0
5.64,-2.64,0,0,0.985822,0.0247557,0.16,0,0
4.52,-3.12,0,0,0.996683,0.036079,0.16,0,0
4.68,-3.12,0,0,0.99526,0.0341867,0.16,0,0
4.84,-3.12,0,0,0.99406,0.0323368,0.16,0,0
5,-3.12,0,0,0.993058,0.0305439,0.16,0,0
4.52,-2.96,0,0,0.994649,0.0376055,0.16,0,0
4.68,-2.96,0,0,0.993272,0.0354688,0.16,0,0
4.84,-2.96,0,0,0.992135,0.0334012,0.16,0,0
5,-2.96,0,0,0.991208,0.031416,0.16,0,0
4.52,-2.8,0,0,0.992345,0.0390802,0.16,0,0
4.68,-2.8,0,0,0.991046,0.0366809,0.16,0,0
